iter	Passed	Remaining
0	1	138
1	2	124
2	3	119
3	4	115
4	6	114
5	7	111
6	8	109
7	9	107
8	10	106
9	11	104
10	12	103
11	13	101
12	14	100
13	16	99
14	17	97
15	18	96
16	19	95
17	20	93
18	21	92
19	22	91
20	23	90
21	25	89
22	26	88
23	27	86
24	28	85
25	29	84
26	30	83
27	31	82
28	33	80
29	34	79
30	35	78
31	36	77
32	37	76
33	38	75
34	39	74
35	40	72
36	42	71
37	43	70
38	44	69
39	45	68
40	46	67
41	47	65
42	48	64
43	49	63
44	51	62
45	52	61
46	53	60
47	54	58
48	55	57
49	56	56
50	57	55
51	59	54
52	60	53
53	61	52
54	62	51
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	44
61	70	42
62	71	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	36
68	77	34
69	79	33
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	86	27
76	87	26
77	88	24
78	89	23
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	97	17
85	98	16
86	99	14
87	100	13
88	101	12
89	103	11
90	104	10
91	105	9
92	106	8
93	107	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
